Sample	Top over-represented sequence	Sum of remaining over-represented sequences
BR_1_13_1	0.0	0.0
BR_1_13_2	0.0	0.0
BR_1_19_1	0.0	0.0
BR_1_19_2	0.15661612933716373	0.0
BR_1_25_1	0.0	0.0
BR_1_25_2	0.0	0.0
BR_1_31_1	0.0	0.0
BR_1_31_2	0.0	0.0
BR_1_35_1	0.0	0.0
BR_1_35_2	0.0	0.0
BR_1_8_1	0.0	0.0
BR_1_8_2	0.0	0.0
BR_2_13_1	0.0	0.0
BR_2_13_2	0.10011730433153278	0.0
BR_2_19_1	0.0	0.0
BR_2_19_2	0.0	0.0
BR_2_25_1	0.0	0.0
BR_2_25_2	0.0	0.0
BR_2_8_1	0.0	0.0
BR_2_8_2	0.10664347844359559	0.0
BR_3_13_1	0.0	0.0
BR_3_13_2	0.0	0.0
BR_3_19_1	0.0	0.0
BR_3_19_2	0.13017271195013622	0.0
BR_3_25_1	0.0	0.0
BR_3_25_2	0.11624139497767155	0.0
BR_3_31_1	0.0	0.0
BR_3_31_2	0.11513841941562569	0.0
BR_3_35_1	0.0	0.0
BR_3_35_2	0.10299944104276403	0.0
BR_3_8_1	0.0	0.0
BR_3_8_2	0.10900506737591821	0.0
B_1_10_1	0.0	0.0
B_1_10_2	0.0	0.0
B_1_11_1	0.0	0.0
B_1_11_2	0.10729886109160029	0.0
B_1_12_1	0.0	0.0
B_1_12_2	0.0	0.0
B_1_13_1	0.0	0.0
B_1_13_2	0.12856175112982235	0.0
B_1_14_1	0.0	0.0
B_1_14_2	0.0	0.0
B_1_15_1	0.0	0.0
B_1_15_2	0.0	0.0
B_1_16_1	0.0	0.0
B_1_16_2	0.1005554480963734	0.0
B_1_17_1	0.0	0.0
B_1_17_2	0.0	0.0
B_1_18_1	0.0	0.0
B_1_18_2	0.11958765489540397	0.0
B_1_19_1	0.0	0.0
B_1_19_2	0.10684819229736017	0.0
B_1_20_1	0.0	0.0
B_1_20_2	0.11345810547693358	0.0
B_1_21_1	0.0	0.0
B_1_21_2	0.14233119242644754	0.0
B_1_22_1	0.0	0.0
B_1_22_2	0.11536732322591531	0.0
B_1_23_1	0.0	0.0
B_1_23_2	0.12088881341067778	0.0
B_1_24_1	0.0	0.0
B_1_24_2	0.0	0.0
B_1_25_1	0.0	0.0
B_1_25_2	0.12752876102459743	0.0
B_1_26_1	0.0	0.0
B_1_26_2	0.12503835846711112	0.0
B_1_27_1	0.0	0.0
B_1_27_2	0.0	0.0
B_1_28_1	0.0	0.0
B_1_28_2	0.13040914550220073	0.0
B_1_29_1	0.0	0.0
B_1_29_2	0.10192213001873757	0.0
B_1_30_1	0.0	0.0
B_1_30_2	0.1033230898087874	0.0
B_1_31_1	0.169486654397498	0.1683032815543679
B_1_31_2	0.21051741824929976	0.1710880498553442
B_1_32_1	0.0	0.0
B_1_32_2	0.0	0.0
B_1_33_1	0.0	0.0
B_1_33_2	0.10801937829778764	0.0
B_1_34_1	0.0	0.0
B_1_34_2	0.0	0.0
B_1_35_1	0.0	0.0
B_1_35_2	0.0	0.0
B_1_36_1	0.0	0.0
B_1_36_2	0.10528025688578799	0.0
B_1_38_1	0.0	0.0
B_1_38_2	0.14625097866386785	0.0
B_1_39_1	0.0	0.0
B_1_39_2	0.0	0.0
B_1_3_1	0.0	0.0
B_1_3_2	0.0	0.0
B_1_40_1	0.0	0.0
B_1_40_2	0.0	0.0
B_1_41_1	0.0	0.0
B_1_41_2	0.0	0.0
B_1_42_1	0.0	0.0
B_1_42_2	0.0	0.0
B_1_4_1	0.0	0.0
B_1_4_2	0.11205761846845798	0.0
B_1_5_1	0.0	0.0
B_1_5_2	0.10530115863009029	0.0
B_1_6_1	0.0	0.0
B_1_6_2	0.11720705609799573	0.0
B_1_8_1	0.0	0.0
B_1_8_2	0.22921608903031226	0.0
B_1_9_1	0.0	0.0
B_1_9_2	0.0	0.0
B_2_10_1	0.0	0.0
B_2_10_2	0.0	0.0
B_2_11_1	0.0	0.0
B_2_11_2	0.0	0.0
B_2_12_1	0.0	0.0
B_2_12_2	0.10565270057352218	0.0
B_2_13_1	0.0	0.0
B_2_13_2	0.1103067874969675	0.0
B_2_14_1	0.0	0.0
B_2_14_2	0.0	0.0
B_2_15_1	0.0	0.0
B_2_15_2	0.0	0.0
B_2_16_1	0.0	0.0
B_2_16_2	0.0	0.0
B_2_17_1	0.0	0.0
B_2_17_2	0.0	0.0
B_2_18_1	0.0	0.0
B_2_18_2	0.10997615425233094	0.0
B_2_19_1	0.0	0.0
B_2_19_2	0.0	0.0
B_2_20_1	0.0	0.0
B_2_20_2	0.0	0.0
B_2_21_1	0.0	0.0
B_2_21_2	0.0	0.0
B_2_22_1	0.0	0.0
B_2_22_2	0.0	0.0
B_2_23_1	0.0	0.0
B_2_23_2	0.0	0.0
B_2_24_1	0.0	0.0
B_2_24_2	0.1280726441870596	0.0
B_2_25_1	0.0	0.0
B_2_25_2	0.0	0.0
B_2_26_1	0.0	0.0
B_2_26_2	0.0	0.0
B_2_27_1	0.0	0.0
B_2_27_2	0.0	0.0
B_2_28_1	0.0	0.0
B_2_28_2	0.11724770828652291	0.0
B_2_29_1	0.0	0.0
B_2_29_2	0.0	0.0
B_2_30_1	0.0	0.0
B_2_30_2	0.0	0.0
B_2_31_1	0.0	0.0
B_2_31_2	0.1270457503871395	0.0
B_2_32_1	0.0	0.0
B_2_32_2	0.10412214689442263	0.0
B_2_33_1	0.0	0.0
B_2_33_2	0.0	0.0
B_2_34_1	0.0	0.0
B_2_34_2	0.0	0.0
B_2_35_1	0.0	0.0
B_2_35_2	0.0	0.0
B_2_36_1	0.0	0.0
B_2_36_2	0.0	0.0
B_2_38_1	0.0	0.0
B_2_38_2	0.10372660138930631	0.0
B_2_39_1	0.0	0.0
B_2_39_2	0.0	0.0
B_2_3_1	0.0	0.0
B_2_3_2	0.0	0.0
B_2_40_1	0.0	0.0
B_2_40_2	0.0	0.0
B_2_41_1	0.0	0.0
B_2_41_2	0.0	0.0
B_2_42_1	0.0	0.0
B_2_42_2	0.0	0.0
B_2_4_1	0.0	0.0
B_2_4_2	0.0	0.0
B_2_5_1	0.0	0.0
B_2_5_2	0.0	0.0
B_2_6_1	0.0	0.0
B_2_6_2	0.0	0.0
B_2_8_1	0.0	0.0
B_2_8_2	0.14558659258116738	0.0
B_2_9_1	0.0	0.0
B_2_9_2	0.0	0.0
B_3_10_1	0.0	0.0
B_3_10_2	0.10780574756718105	0.0
B_3_11_1	0.0	0.0
B_3_11_2	0.0	0.0
B_3_12_1	0.0	0.0
B_3_12_2	0.0	0.0
B_3_13_1	0.0	0.0
B_3_13_2	0.10206587772761957	0.0
B_3_14_1	0.0	0.0
B_3_14_2	0.0	0.0
B_3_15_1	0.771802888847506	0.6756222080300288
B_3_15_2	0.7613352519341193	0.6687765175192911
B_3_16_1	0.0	0.0
B_3_16_2	0.0	0.0
B_3_17_1	0.0	0.0
B_3_17_2	0.0	0.0
B_3_18_1	0.0	0.0
B_3_18_2	0.12678648224247624	0.0
B_3_19_1	0.0	0.0
B_3_19_2	0.1121619919202042	0.0
B_3_20_1	0.0	0.0
B_3_20_2	0.10001687719780172	0.0
B_3_21_1	0.0	0.0
B_3_21_2	0.1130312069662283	0.0
B_3_22_1	0.0	0.0
B_3_22_2	0.0	0.0
B_3_23_1	0.0	0.0
B_3_23_2	0.12535895428980864	0.0
B_3_24_1	0.0	0.0
B_3_24_2	0.16919569013291486	0.11309169821307152
B_3_25_1	0.0	0.0
B_3_25_2	0.11886459868778781	0.0
B_3_26_1	0.0	0.0
B_3_26_2	0.10695615284749922	0.0
B_3_27_1	0.0	0.0
B_3_27_2	0.10358782258214998	0.0
B_3_28_1	0.0	0.0
B_3_28_2	0.0	0.0
B_3_29_1	0.0	0.0
B_3_29_2	0.0	0.0
B_3_30_1	0.0	0.0
B_3_30_2	0.1593884067746252	0.10479460947088357
B_3_31_1	0.0	0.0
B_3_31_2	0.11905196622623176	0.0
B_3_32_1	0.0	0.0
B_3_32_2	0.17756322438699565	0.0
B_3_33_1	0.0	0.0
B_3_33_2	0.1101031049884573	0.0
B_3_34_1	0.0	0.0
B_3_34_2	0.0	0.0
B_3_35_1	0.0	0.0
B_3_35_2	0.0	0.0
B_3_36_1	0.0	0.0
B_3_36_2	0.10322219289538871	0.0
B_3_38_1	0.0	0.0
B_3_38_2	0.0	0.0
B_3_39_1	0.0	0.0
B_3_39_2	0.12291988731703601	0.0
B_3_3_1	0.0	0.0
B_3_3_2	0.0	0.0
B_3_40_1	0.0	0.0
B_3_40_2	0.0	0.0
B_3_41_1	0.0	0.0
B_3_41_2	0.1306873212342882	0.0
B_3_42_1	0.0	0.0
B_3_42_2	0.10004357945433956	0.0
B_3_4_1	0.0	0.0
B_3_4_2	0.0	0.0
B_3_5_1	0.0	0.0
B_3_5_2	0.0	0.0
B_3_6_1	0.0	0.0
B_3_6_2	0.0	0.0
B_3_8_1	0.0	0.0
B_3_8_2	0.0	0.0
B_3_9_1	0.0	0.0
B_3_9_2	0.0	0.0
re_B_1_34_1	0.0	0.0
re_B_1_34_2	0.10212048241659238	0.0
