Sample	Unique Reads	Duplicate Reads
BR_1_13_1	8324739.0	20643702.0
BR_1_13_2	7758210.0	21210231.0
BR_1_19_1	10492962.0	24673914.0
BR_1_19_2	10452051.0	24714825.0
BR_1_25_1	10272555.0	24627280.0
BR_1_25_2	9614364.0	25285471.0
BR_1_31_1	9440586.0	21488597.0
BR_1_31_2	9063432.0	21865751.0
BR_1_35_1	8792389.0	23036227.0
BR_1_35_2	8211172.0	23617444.0
BR_1_8_1	5456909.0	27104185.0
BR_1_8_2	5378901.0	27182193.0
BR_2_13_1	11907608.0	29891360.0
BR_2_13_2	11632989.0	30165979.0
BR_2_19_1	9877906.0	25271286.0
BR_2_19_2	9193647.0	25955545.0
BR_2_25_1	9227232.0	24613611.0
BR_2_25_2	8672556.0	25168287.0
BR_2_8_1	13029836.0	26944479.0
BR_2_8_2	12485025.0	27489290.0
BR_3_13_1	11291573.0	25098744.0
BR_3_13_2	11127525.0	25262792.0
BR_3_19_1	11895125.0	23517827.0
BR_3_19_2	11485728.0	23927224.0
BR_3_25_1	11403344.0	21216705.0
BR_3_25_2	11295074.0	21324975.0
BR_3_31_1	11320761.0	19431789.0
BR_3_31_2	11307498.0	19445052.0
BR_3_35_1	11478752.0	23416583.0
BR_3_35_2	11311284.0	23584051.0
BR_3_8_1	10446907.0	22464407.0
BR_3_8_2	10180323.0	22730991.0
B_1_10_1	10862073.0	22293249.0
B_1_10_2	9343560.0	23811762.0
B_1_11_1	13625567.0	30179185.0
B_1_11_2	11269779.0	32534973.0
B_1_12_1	11522484.0	26665225.0
B_1_12_2	9858280.0	28329429.0
B_1_13_1	11149153.0	19750395.0
B_1_13_2	9910404.0	20989144.0
B_1_14_1	14133186.0	31078115.0
B_1_14_2	11792121.0	33419180.0
B_1_15_1	13725718.0	35874753.0
B_1_15_2	11028061.0	38572410.0
B_1_16_1	11948392.0	29043917.0
B_1_16_2	10129280.0	30863029.0
B_1_17_1	11591863.0	29391959.0
B_1_17_2	9625460.0	31358362.0
B_1_18_1	9950773.0	23001625.0
B_1_18_2	8527378.0	24425020.0
B_1_19_1	11395866.0	24403523.0
B_1_19_2	9697179.0	26102210.0
B_1_20_1	11307870.0	21424917.0
B_1_20_2	9923510.0	22809277.0
B_1_21_1	10802503.0	23378339.0
B_1_21_2	9511288.0	24669554.0
B_1_22_1	11353626.0	24373995.0
B_1_22_2	9807189.0	25920432.0
B_1_23_1	11244217.0	22625749.0
B_1_23_2	9841304.0	24028662.0
B_1_24_1	10196083.0	23333710.0
B_1_24_2	8678718.0	24851075.0
B_1_25_1	13120859.0	26921873.0
B_1_25_2	11555206.0	28487526.0
B_1_26_1	11820315.0	22833051.0
B_1_26_2	10325417.0	24327949.0
B_1_27_1	10365596.0	28813042.0
B_1_27_2	8574926.0	30603712.0
B_1_28_1	11374326.0	31171003.0
B_1_28_2	9588134.0	32957195.0
B_1_29_1	11941165.0	28766383.0
B_1_29_2	10121544.0	30586004.0
B_1_30_1	12386605.0	28536484.0
B_1_30_2	10395437.0	30527652.0
B_1_31_1	8952468.0	23581657.0
B_1_31_2	9181939.0	23352186.0
B_1_32_1	13360736.0	33686324.0
B_1_32_2	12901151.0	34145909.0
B_1_33_1	11057386.0	30666609.0
B_1_33_2	11233759.0	30490236.0
B_1_34_1	4735438.0	4750314.0
B_1_34_2	4639780.0	4845972.0
B_1_35_1	8999486.0	21827562.0
B_1_35_2	8492269.0	22334779.0
B_1_36_1	13582599.0	45565243.0
B_1_36_2	13603733.0	45544109.0
B_1_38_1	11180624.0	21561721.0
B_1_38_2	10848898.0	21893447.0
B_1_39_1	9760411.0	23739933.0
B_1_39_2	10599528.0	22900816.0
B_1_3_1	12017449.0	27879786.0
B_1_3_2	10220078.0	29677157.0
B_1_40_1	13838997.0	24516393.0
B_1_40_2	13934875.0	24420515.0
B_1_41_1	14586614.0	27242616.0
B_1_41_2	14292343.0	27536887.0
B_1_42_1	12681282.0	25840851.0
B_1_42_2	12108611.0	26413522.0
B_1_4_1	11311656.0	23801530.0
B_1_4_2	9669668.0	25443518.0
B_1_5_1	14244219.0	32707781.0
B_1_5_2	11595475.0	35356525.0
B_1_6_1	12906156.0	27913912.0
B_1_6_2	11114806.0	29705262.0
B_1_8_1	8444203.0	28304090.0
B_1_8_2	7080305.0	29667988.0
B_1_9_1	13085959.0	29863376.0
B_1_9_2	10907232.0	32042103.0
B_2_10_1	13143883.0	31036457.0
B_2_10_2	12960388.0	31219952.0
B_2_11_1	10504267.0	22243951.0
B_2_11_2	10317277.0	22430941.0
B_2_12_1	10876024.0	25766674.0
B_2_12_2	11696609.0	24946089.0
B_2_13_1	10024884.0	19538120.0
B_2_13_2	9825046.0	19737958.0
B_2_14_1	10609646.0	31911933.0
B_2_14_2	10942709.0	31578870.0
B_2_15_1	11169373.0	24710227.0
B_2_15_2	10981470.0	24898130.0
B_2_16_1	10813766.0	31425666.0
B_2_16_2	10785680.0	31453752.0
B_2_17_1	9771770.0	28146203.0
B_2_17_2	9617943.0	28300030.0
B_2_18_1	10111761.0	23068159.0
B_2_18_2	9867860.0	23312060.0
B_2_19_1	9261995.0	22517657.0
B_2_19_2	9457621.0	22322031.0
B_2_20_1	10654891.0	20286348.0
B_2_20_2	10755791.0	20185448.0
B_2_21_1	10011553.0	23285780.0
B_2_21_2	9922266.0	23375067.0
B_2_22_1	10254321.0	25062986.0
B_2_22_2	10092538.0	25224769.0
B_2_23_1	10404008.0	25523787.0
B_2_23_2	10287331.0	25640464.0
B_2_24_1	8996499.0	25298881.0
B_2_24_2	9277320.0	25018060.0
B_2_25_1	9271542.0	30988411.0
B_2_25_2	9596713.0	30663240.0
B_2_26_1	8844243.0	22017648.0
B_2_26_2	9153121.0	21708770.0
B_2_27_1	9511756.0	21462463.0
B_2_27_2	9496164.0	21478055.0
B_2_28_1	9323639.0	23250132.0
B_2_28_2	9141371.0	23432400.0
B_2_29_1	10948431.0	25132535.0
B_2_29_2	10910924.0	25170042.0
B_2_30_1	11152080.0	28605020.0
B_2_30_2	11180283.0	28576817.0
B_2_31_1	11764164.0	21648209.0
B_2_31_2	12109363.0	21303010.0
B_2_32_1	10284529.0	19510285.0
B_2_32_2	9974107.0	19820707.0
B_2_33_1	12353337.0	23119970.0
B_2_33_2	12283485.0	23189822.0
B_2_34_1	10787889.0	20948711.0
B_2_34_2	10802792.0	20933808.0
B_2_35_1	11189424.0	21484282.0
B_2_35_2	11102008.0	21571698.0
B_2_36_1	9625536.0	23783043.0
B_2_36_2	9081113.0	24327466.0
B_2_38_1	10005401.0	26335325.0
B_2_38_2	10427665.0	25913061.0
B_2_39_1	8283332.0	25945882.0
B_2_39_2	8559613.0	25669601.0
B_2_3_1	12078514.0	24036045.0
B_2_3_2	11986477.0	24128082.0
B_2_40_1	13575858.0	25314690.0
B_2_40_2	13288745.0	25601803.0
B_2_41_1	11420398.0	18541145.0
B_2_41_2	11303314.0	18658229.0
B_2_42_1	13715267.0	26552220.0
B_2_42_2	13329318.0	26938169.0
B_2_4_1	10246009.0	21598336.0
B_2_4_2	10188216.0	21656129.0
B_2_5_1	12448380.0	30391146.0
B_2_5_2	12444761.0	30394765.0
B_2_6_1	12513503.0	29311497.0
B_2_6_2	12631865.0	29193135.0
B_2_8_1	12422436.0	26173151.0
B_2_8_2	12445904.0	26149683.0
B_2_9_1	11815779.0	26345070.0
B_2_9_2	11800406.0	26360443.0
B_3_10_1	10118162.0	24619318.0
B_3_10_2	9904784.0	24832696.0
B_3_11_1	13235294.0	45261211.0
B_3_11_2	13167407.0	45329098.0
B_3_12_1	11531161.0	28497239.0
B_3_12_2	9685205.0	30343195.0
B_3_13_1	13251128.0	31060449.0
B_3_13_2	10850661.0	33460916.0
B_3_14_1	13564715.0	29114482.0
B_3_14_2	11289569.0	31389628.0
B_3_15_1	12166177.0	35046007.0
B_3_15_2	12039686.0	35172498.0
B_3_16_1	12901940.0	28850491.0
B_3_16_2	10817396.0	30935035.0
B_3_17_1	12237715.0	28907132.0
B_3_17_2	10089684.0	31055163.0
B_3_18_1	13926317.0	32525796.0
B_3_18_2	11520474.0	34931639.0
B_3_19_1	13621294.0	27226768.0
B_3_19_2	11680662.0	29167400.0
B_3_20_1	14278924.0	32820127.0
B_3_20_2	11870699.0	35228352.0
B_3_21_1	13547418.0	30651880.0
B_3_21_2	11262745.0	32936553.0
B_3_22_1	12403095.0	29750111.0
B_3_22_2	10562426.0	31590780.0
B_3_23_1	12306282.0	31663453.0
B_3_23_2	10335161.0	33634574.0
B_3_24_1	11705040.0	26203136.0
B_3_24_2	10083187.0	27824989.0
B_3_25_1	13430471.0	25216023.0
