Sample	Pseudoaligned	Not aligned
BR_1_13_1	24925453.0	3438765.0
BR_1_19_1	28823370.0	4732759.0
BR_1_25_1	29286187.0	4733728.0
BR_1_31_1	25559078.0	4535117.0
BR_1_35_1	27401193.0	3656592.0
BR_1_8_1	28227077.0	3507363.0
BR_2_13_1	34454635.0	5596128.0
BR_2_19_1	29798254.0	4499816.0
BR_2_25_1	28512854.0	4473489.0
BR_2_8_1	33523661.0	4775901.0
BR_3_13_1	30185727.0	4588953.0
BR_3_19_1	29392684.0	4491762.0
BR_3_25_1	26541535.0	4672325.0
BR_3_31_1	24578418.0	4810688.0
BR_3_35_1	29265399.0	4095675.0
BR_3_8_1	27776861.0	3798479.0
B_1_10_1	28955046.0	3448535.0
B_1_11_1	38194440.0	4532261.0
B_1_12_1	33599082.0	3748105.0
B_1_13_1	23997667.0	6043960.0
B_1_14_1	38864839.0	5241782.0
B_1_15_1	43310993.0	5118656.0
B_1_16_1	35910057.0	4036080.0
B_1_17_1	36010986.0	4027339.0
B_1_18_1	28857673.0	3377022.0
B_1_19_1	30602583.0	4341636.0
B_1_20_1	28009710.0	3847218.0
B_1_21_1	29554386.0	3651076.0
B_1_22_1	31160578.0	3633013.0
B_1_23_1	29360501.0	3554583.0
B_1_24_1	29124883.0	3591004.0
B_1_25_1	25419039.0	13590825.0
B_1_26_1	29689260.0	4046507.0
B_1_27_1	33742192.0	4460456.0
B_1_28_1	33916457.0	7501857.0
B_1_29_1	34864245.0	4895019.0
B_1_30_1	35760526.0	4165269.0
B_1_31_1	25722161.0	5450771.0
B_1_32_1	38882941.0	6358854.0
B_1_33_1	34486799.0	5487891.0
B_1_34_1	7952759.0	1214145.0
B_1_35_1	25843314.0	4002144.0
B_1_36_1	50091302.0	6701066.0
B_1_38_1	26453215.0	5027829.0
B_1_39_1	27348013.0	4876822.0
B_1_3_1	34578915.0	4404861.0
B_1_40_1	31690519.0	5170582.0
B_1_41_1	34832312.0	5630049.0
B_1_42_1	31997144.0	5182861.0
B_1_4_1	30373472.0	3902579.0
B_1_5_1	40875984.0	4857712.0
B_1_6_1	35428083.0	4280347.0
B_1_8_1	30854629.0	4887787.0
B_1_9_1	37580749.0	4297386.0
B_2_10_1	38141777.0	4736944.0
B_2_11_1	28402043.0	3289003.0
B_2_12_1	31352812.0	3655828.0
B_2_13_1	24477569.0	4163800.0
B_2_14_1	36127404.0	4979811.0
B_2_15_1	30831973.0	3919753.0
B_2_16_1	36365088.0	4562301.0
B_2_17_1	32977064.0	3788212.0
B_2_18_1	28768530.0	3370526.0
B_2_19_1	26445676.0	4192296.0
B_2_20_1	26307840.0	3336005.0
B_2_21_1	28784483.0	3415634.0
B_2_22_1	30248982.0	4038311.0
B_2_23_1	30990315.0	3833464.0
B_2_24_1	29745265.0	3459918.0
B_2_25_1	32869829.0	5937914.0
B_2_26_1	25779930.0	3943266.0
B_2_27_1	26336017.0	3627958.0
B_2_28_1	27537051.0	3974601.0
B_2_29_1	30970685.0	4011381.0
B_2_30_1	33842227.0	4639651.0
B_2_31_1	26930648.0	5057713.0
B_2_32_1	23938472.0	4784174.0
B_2_33_1	29872258.0	4403014.0
B_2_34_1	26880792.0	3783733.0
B_2_35_1	27635401.0	3962969.0
B_2_36_1	28398768.0	4011706.0
B_2_38_1	28072673.0	6940149.0
B_2_39_1	28855497.0	4291051.0
B_2_3_1	29635687.0	5255351.0
B_2_40_1	32035231.0	5638921.0
B_2_41_1	24767413.0	4214153.0
B_2_42_1	33677702.0	5386101.0
B_2_4_1	27579107.0	3292594.0
B_2_5_1	36886118.0	4501252.0
B_2_6_1	35859052.0	4393220.0
B_2_8_1	32832912.0	4268101.0
B_2_9_1	32735234.0	4077301.0
B_3_10_1	30346482.0	3355222.0
B_3_11_1	50188809.0	6043877.0
B_3_12_1	34699477.0	4408677.0
B_3_13_1	37739286.0	5488877.0
B_3_14_1	37270851.0	4385204.0
B_3_15_1	40341313.0	5220153.0
B_3_16_1	36600151.0	4163073.0
B_3_17_1	36298852.0	3921513.0
B_3_18_1	40653307.0	4681529.0
B_3_19_1	34525494.0	5196392.0
B_3_20_1	40550714.0	5342199.0
B_3_21_1	38304137.0	4849271.0
B_3_22_1	37086106.0	4055567.0
B_3_23_1	37984791.0	4816070.0
B_3_24_1	33043493.0	3979297.0
B_3_25_1	32261425.0	5493276.0
B_3_26_1	33037903.0	4375057.0
B_3_27_1	37145109.0	4641254.0
B_3_28_1	34205526.0	4311209.0
B_3_29_1	37020322.0	4722097.0
B_3_30_1	33838590.0	4442205.0
B_3_31_1	35534751.0	6424362.0
B_3_32_1	37085021.0	10319371.0
B_3_33_1	30346639.0	4552541.0
B_3_34_1	34092992.0	4488529.0
B_3_35_1	32027304.0	4049670.0
B_3_36_1	32972294.0	4874031.0
B_3_38_1	26288081.0	5768631.0
B_3_39_1	36142013.0	5460058.0
B_3_3_1	27330831.0	3616354.0
B_3_40_1	35962861.0	5579082.0
B_3_41_1	35947046.0	5268936.0
B_3_42_1	43084759.0	6151430.0
B_3_4_1	31350032.0	3991760.0
B_3_5_1	30324824.0	3887623.0
B_3_6_1	36684200.0	4739520.0
B_3_8_1	34337036.0	4364619.0
B_3_9_1	31349812.0	3841856.0
re_B_1_34_1	21174460.0	4017666.0
