Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
BR_1_13_1	BR_1_13_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28968441.0	0.0	150.0	54.0	28.737268373387625	150.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
BR_1_13_2	BR_1_13_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28968441.0	0.0	150.0	54.0	26.781590443695162	150.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
BR_1_19_1	BR_1_19_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35166876.0	0.0	150.0	55.0	29.837628962542578	150.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	pass	pass
BR_1_19_2	BR_1_19_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35166876.0	0.0	150.0	56.0	29.721294138308224	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
BR_1_25_1	BR_1_25_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34899835.0	0.0	150.0	54.0	29.434392786914138	150.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
BR_1_25_2	BR_1_25_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34899835.0	0.0	150.0	54.0	27.548449101991512	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
BR_1_31_1	BR_1_31_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30929183.0	0.0	150.0	54.0	30.523228280657538	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
BR_1_31_2	BR_1_31_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30929183.0	0.0	150.0	54.0	29.303818841187244	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
BR_1_35_1	BR_1_35_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31828616.0	0.0	150.0	54.0	27.624161324974494	150.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
BR_1_35_2	BR_1_35_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31828616.0	0.0	150.0	54.0	25.798077582809547	150.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
BR_1_8_1	BR_1_8_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32561094.0	0.0	150.0	54.0	16.75898342746292	150.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
BR_1_8_2	BR_1_8_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32561094.0	0.0	150.0	54.0	16.519410317189244	150.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
BR_2_13_1	BR_2_13_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41798968.0	0.0	150.0	55.0	28.48780356128603	150.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	pass	pass
BR_2_13_2	BR_2_13_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41798968.0	0.0	150.0	56.0	27.830803342461152	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
BR_2_19_1	BR_2_19_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35149192.0	0.0	150.0	54.0	28.102795839466584	150.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
BR_2_19_2	BR_2_19_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35149192.0	0.0	150.0	54.0	26.156067963601277	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
BR_2_25_1	BR_2_25_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33840843.0	0.0	150.0	54.0	27.266553966069722	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
BR_2_25_2	BR_2_25_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33840843.0	0.0	150.0	54.0	25.627479657382747	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
BR_2_8_1	BR_2_8_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39974315.0	0.0	150.0	55.0	32.59551842012585	150.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	pass	pass
BR_2_8_2	BR_2_8_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39974315.0	0.0	150.0	56.0	31.232617051390893	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
BR_3_13_1	BR_3_13_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36390317.0	0.0	150.0	55.0	31.02905709905155	150.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	pass	pass
BR_3_13_2	BR_3_13_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36390317.0	0.0	150.0	56.0	30.578257053514335	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
BR_3_19_1	BR_3_19_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35412952.0	0.0	150.0	55.0	33.589756455097636	150.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	pass	pass
BR_3_19_2	BR_3_19_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35412952.0	0.0	150.0	55.0	32.43369136995111	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
BR_3_25_1	BR_3_25_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32620049.0	0.0	150.0	55.0	34.95808089335432	150.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	pass	pass
BR_3_25_2	BR_3_25_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32620049.0	0.0	150.0	56.0	34.62617082191555	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
BR_3_31_1	BR_3_31_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30752550.0	0.0	150.0	55.0	36.81242766788838	150.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	pass	pass
BR_3_31_2	BR_3_31_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30752550.0	0.0	150.0	56.0	36.769302038960134	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
BR_3_35_1	BR_3_35_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34895335.0	0.0	150.0	55.0	32.89480110726803	150.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	pass	pass
BR_3_35_2	BR_3_35_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34895335.0	0.0	150.0	55.0	32.41488724624009	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
BR_3_8_1	BR_3_8_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32911314.0	0.0	150.0	55.0	31.74259790054445	150.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	pass	pass
BR_3_8_2	BR_3_8_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32911314.0	0.0	150.0	55.0	30.93259301443092	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
B_1_10_1	B_1_10_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33155322.0	0.0	150.0	55.0	32.7611736578799	150.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	pass	pass
B_1_10_2	B_1_10_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33155322.0	0.0	150.0	55.0	28.1811756736983	150.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	pass	pass
B_1_11_1	B_1_11_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43804752.0	0.0	150.0	55.0	31.1052243244026	150.0	pass	pass	fail	pass	fail	warn	pass	pass	fail	pass	pass
B_1_11_2	B_1_11_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43804752.0	0.0	150.0	56.0	25.727297446521362	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
B_1_12_1	B_1_12_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38187709.0	0.0	150.0	55.0	30.17327879050673	150.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	pass	pass
B_1_12_2	B_1_12_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38187709.0	0.0	150.0	55.0	25.815319460343222	150.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	pass	pass
B_1_13_1	B_1_13_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30899548.0	0.0	150.0	55.0	36.081927142638875	150.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	pass	pass
B_1_13_2	B_1_13_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30899548.0	0.0	150.0	55.0	32.07297319099682	150.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	pass
B_1_14_1	B_1_14_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45211301.0	0.0	150.0	55.0	31.26029369190171	150.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	pass	pass
B_1_14_2	B_1_14_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45211301.0	0.0	150.0	55.0	26.08224150239892	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
B_1_15_1	B_1_15_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49600471.0	0.0	150.0	55.0	27.672554112789605	150.0	pass	pass	fail	pass	fail	warn	pass	pass	fail	pass	pass
B_1_15_2	B_1_15_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49600471.0	0.0	150.0	55.0	22.233780855281644	150.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	pass	pass
B_1_16_1	B_1_16_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40992309.0	0.0	150.0	55.0	29.147885917381437	150.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	pass	pass
B_1_16_2	B_1_16_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40992309.0	0.0	150.0	55.0	24.710194620544037	150.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	pass
B_1_17_1	B_1_17_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40983822.0	0.0	150.0	54.0	28.283996896320744	150.0	pass	pass	fail	pass	warn	pass	pass	pass	fail	pass	pass
B_1_17_2	B_1_17_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40983822.0	0.0	150.0	55.0	23.48599722829898	150.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
B_1_18_1	B_1_18_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32952398.0	0.0	150.0	55.0	30.1974167576825	150.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	pass	pass
B_1_18_2	B_1_18_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32952398.0	0.0	150.0	56.0	25.877865135032273	150.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
B_1_19_1	B_1_19_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35799389.0	0.0	150.0	55.0	31.832570343136997	150.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	pass	pass
B_1_19_2	B_1_19_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35799389.0	0.0	150.0	56.0	27.087552749063693	150.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	pass
B_1_20_1	B_1_20_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32732787.0	0.0	150.0	55.0	34.54600393936829	150.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	pass	pass
B_1_20_2	B_1_20_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32732787.0	0.0	150.0	56.0	30.31672762525352	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
B_1_21_1	B_1_21_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34180842.0	0.0	150.0	55.0	31.603967454782563	150.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	pass	pass
B_1_21_2	B_1_21_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34180842.0	0.0	150.0	56.0	27.826371098189856	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
B_1_22_1	B_1_22_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35727621.0	0.0	150.0	55.0	31.778286059897003	150.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	pass	pass
B_1_22_2	B_1_22_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35727621.0	0.0	150.0	56.0	27.449879473950045	150.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	pass
B_1_23_1	B_1_23_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33869966.0	0.0	150.0	56.0	33.19819246788115	150.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	pass	pass
B_1_23_2	B_1_23_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33869966.0	0.0	150.0	56.0	29.05613706697272	150.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	pass
B_1_24_1	B_1_24_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33529793.0	0.0	150.0	55.0	30.40902308622388	150.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	pass	pass
B_1_24_2	B_1_24_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33529793.0	0.0	150.0	56.0	25.883600165139736	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
B_1_25_1	B_1_25_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40042732.0	0.0	150.0	53.0	32.7671423024408	150.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	pass	pass
B_1_25_2	B_1_25_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40042732.0	0.0	150.0	54.0	28.8571849785031	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
B_1_26_1	B_1_26_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34653366.0	0.0	150.0	56.0	34.11014849474468	150.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	pass	pass
B_1_26_2	B_1_26_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34653366.0	0.0	150.0	56.0	29.796286942244187	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
B_1_27_1	B_1_27_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39178638.0	0.0	150.0	56.0	26.457263781420643	150.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	pass	pass
B_1_27_2	B_1_27_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39178638.0	0.0	150.0	56.0	21.88673661065271	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
B_1_28_1	B_1_28_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42545329.0	0.0	150.0	55.0	26.734605632675606	150.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	pass	pass
B_1_28_2	B_1_28_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42545329.0	0.0	150.0	55.0	22.536277219220036	150.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	pass
B_1_29_1	B_1_29_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40707548.0	0.0	150.0	55.0	29.334030606316613	150.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	pass	pass
B_1_29_2	B_1_29_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40707548.0	0.0	150.0	55.0	24.864045618190687	150.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	pass
B_1_30_1	B_1_30_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40923089.0	0.0	150.0	55.0	30.268009771613762	150.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	pass	pass
B_1_30_2	B_1_30_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40923089.0	0.0	150.0	56.0	25.40237598034785	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
