Sample	total_reads	pseudoaligned_reads	not_pseudoaligned_reads	percent_aligned	fragment_length
BR_1_13_1	28364218.0	24925453.0	3438765.0	87.87639765002511	254.15
BR_1_19_1	33556129.0	28823370.0	4732759.0	85.89599235358763	250.733
BR_1_25_1	34019915.0	29286187.0	4733728.0	86.08542084834721	253.49
BR_1_31_1	30094195.0	25559078.0	4535117.0	84.93025980591938	258.539
BR_1_35_1	31057785.0	27401193.0	3656592.0	88.22648814137905	262.282
BR_1_8_1	31734440.0	28227077.0	3507363.0	88.9477709390807	277.202
BR_2_13_1	40050763.0	34454635.0	5596128.0	86.02741226178388	246.243
BR_2_19_1	34298070.0	29798254.0	4499816.0	86.88026469127855	265.863
BR_2_25_1	32986343.0	28512854.0	4473489.0	86.4383602632156	266.456
BR_2_8_1	38299562.0	33523661.0	4775901.0	87.53014198961336	245.315
BR_3_13_1	34774680.0	30185727.0	4588953.0	86.80375204027759	237.213
BR_3_19_1	33884446.0	29392684.0	4491762.0	86.74388242912397	245.135
BR_3_25_1	31213860.0	26541535.0	4672325.0	85.0312489387727	239.489
BR_3_31_1	29389106.0	24578418.0	4810688.0	83.63105022657035	242.617
BR_3_35_1	33361074.0	29265399.0	4095675.0	87.72319200514947	245.113
BR_3_8_1	31575340.0	27776861.0	3798479.0	87.97010895211262	248.759
B_1_10_1	32403581.0	28955046.0	3448535.0	89.35754971032368	200.941
B_1_11_1	42726701.0	38194440.0	4532261.0	89.39243870009996	252.286
B_1_12_1	37347187.0	33599082.0	3748105.0	89.96415713986705	256.177
B_1_13_1	30041627.0	23997667.0	6043960.0	79.88138258956481	271.643
B_1_14_1	44106621.0	38864839.0	5241782.0	88.11565728419775	232.132
B_1_15_1	48429649.0	43310993.0	5118656.0	89.43073900865976	232.533
B_1_16_1	39946137.0	35910057.0	4036080.0	89.89619446806584	256.428
B_1_17_1	40038325.0	36010986.0	4027339.0	89.94129000151729	211.344
B_1_18_1	32234695.0	28857673.0	3377022.0	89.5236421501739	226.052
B_1_19_1	34944219.0	30602583.0	4341636.0	87.57552429487693	250.558
B_1_20_1	31856928.0	28009710.0	3847218.0	87.92344949268178	211.591
B_1_21_1	33205462.0	29554386.0	3651076.0	89.00459207584584	262.531
B_1_22_1	34793591.0	31160578.0	3633013.0	89.55838447373829	254.841
B_1_23_1	32915084.0	29360501.0	3554583.0	89.20074759645152	244.389
B_1_24_1	32715887.0	29124883.0	3591004.0	89.02366914276236	236.533
B_1_25_1	39009864.0	25419039.0	13590825.0	65.16054247202707	282.113
B_1_26_1	33735767.0	29689260.0	4046507.0	88.0052912388208	264.2
B_1_27_1	38202648.0	33742192.0	4460456.0	88.32422297009359	241.557
B_1_28_1	41418314.0	33916457.0	7501857.0	81.88758480125483	271.337
B_1_29_1	39759264.0	34864245.0	4895019.0	87.68835610236648	270.599
B_1_30_1	39925795.0	35760526.0	4165269.0	89.56747385994443	262.732
B_1_31_1	31172932.0	25722161.0	5450771.0	82.514410258233	221.913
B_1_32_1	45241795.0	38882941.0	6358854.0	85.94473539345643	242.897
B_1_33_1	39974690.0	34486799.0	5487891.0	86.27158584594402	211.143
B_1_34_1	9166904.0	7952759.0	1214145.0	86.7551247400431	175.933
B_1_35_1	29845458.0	25843314.0	4002144.0	86.59044200293391	183.43
B_1_36_1	56792368.0	50091302.0	6701066.0	88.20076317296719	243.039
B_1_38_1	31481044.0	26453215.0	5027829.0	84.02902711866862	220.774
B_1_39_1	32224835.0	27348013.0	4876822.0	84.86626230979925	197.892
B_1_3_1	38983776.0	34578915.0	4404861.0	88.70078414158752	239.511
B_1_40_1	36861101.0	31690519.0	5170582.0	85.97279554943299	252.006
B_1_41_1	40462361.0	34832312.0	5630049.0	86.08571309024701	215.169
B_1_42_1	37180005.0	31997144.0	5182861.0	86.06008525281264	191.107
B_1_4_1	34276051.0	30373472.0	3902579.0	88.61426889579549	224.572
B_1_5_1	45733696.0	40875984.0	4857712.0	89.37826498868581	214.804
