Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
BR_1_13_1	71.26273162661238	54.0	150.0	9.090909090909092	28968441.0
BR_1_13_2	73.21840955630483	54.0	150.0	9.090909090909092	28968441.0
BR_1_19_1	70.16237103745742	55.0	150.0	18.181818181818183	35166876.0
BR_1_19_2	70.27870586169178	56.0	150.0	9.090909090909092	35166876.0
BR_1_25_1	70.56560721308585	54.0	150.0	9.090909090909092	34899835.0
BR_1_25_2	72.45155089800849	54.0	150.0	9.090909090909092	34899835.0
BR_1_31_1	69.47677171934247	54.0	150.0	9.090909090909092	30929183.0
BR_1_31_2	70.69618115881275	54.0	150.0	9.090909090909092	30929183.0
BR_1_35_1	72.3758386750255	54.0	150.0	9.090909090909092	31828616.0
BR_1_35_2	74.20192241719045	54.0	150.0	9.090909090909092	31828616.0
BR_1_8_1	83.24101657253708	54.0	150.0	9.090909090909092	32561094.0
BR_1_8_2	83.48058968281076	54.0	150.0	9.090909090909092	32561094.0
BR_2_13_1	71.51219643871397	55.0	150.0	18.181818181818183	41798968.0
BR_2_13_2	72.16919665753885	56.0	150.0	9.090909090909092	41798968.0
BR_2_19_1	71.89720416053342	54.0	150.0	9.090909090909092	35149192.0
BR_2_19_2	73.84393203639873	54.0	150.0	9.090909090909092	35149192.0
BR_2_25_1	72.73344603393028	54.0	150.0	9.090909090909092	33840843.0
BR_2_25_2	74.37252034261725	54.0	150.0	9.090909090909092	33840843.0
BR_2_8_1	67.40448157987416	55.0	150.0	18.181818181818183	39974315.0
BR_2_8_2	68.76738294860911	56.0	150.0	9.090909090909092	39974315.0
BR_3_13_1	68.97094290094844	55.0	150.0	18.181818181818183	36390317.0
BR_3_13_2	69.42174294648567	56.0	150.0	9.090909090909092	36390317.0
BR_3_19_1	66.41024354490236	55.0	150.0	18.181818181818183	35412952.0
BR_3_19_2	67.5663086300489	55.0	150.0	9.090909090909092	35412952.0
BR_3_25_1	65.04191910664568	55.0	150.0	18.181818181818183	32620049.0
BR_3_25_2	65.37382917808445	56.0	150.0	9.090909090909092	32620049.0
BR_3_31_1	63.18757233211162	55.0	150.0	18.181818181818183	30752550.0
BR_3_31_2	63.230697961039866	56.0	150.0	9.090909090909092	30752550.0
BR_3_35_1	67.10519889273198	55.0	150.0	18.181818181818183	34895335.0
BR_3_35_2	67.58511275375992	55.0	150.0	9.090909090909092	34895335.0
BR_3_8_1	68.25740209945555	55.0	150.0	18.181818181818183	32911314.0
BR_3_8_2	69.06740698556908	55.0	150.0	9.090909090909092	32911314.0
B_1_10_1	67.23882634212009	55.0	150.0	27.27272727272727	33155322.0
B_1_10_2	71.8188243263017	55.0	150.0	9.090909090909092	33155322.0
B_1_11_1	68.8947756755974	55.0	150.0	27.27272727272727	43804752.0
B_1_11_2	74.27270255347864	56.0	150.0	9.090909090909092	43804752.0
B_1_12_1	69.82672120949327	55.0	150.0	27.27272727272727	38187709.0
B_1_12_2	74.18468053965678	55.0	150.0	9.090909090909092	38187709.0
B_1_13_1	63.918072857361125	55.0	150.0	18.181818181818183	30899548.0
B_1_13_2	67.92702680900318	55.0	150.0	9.090909090909092	30899548.0
B_1_14_1	68.73970630809829	55.0	150.0	18.181818181818183	45211301.0
B_1_14_2	73.91775849760108	55.0	150.0	9.090909090909092	45211301.0
B_1_15_1	72.32744588721039	55.0	150.0	27.27272727272727	49600471.0
B_1_15_2	77.76621914471835	55.0	150.0	9.090909090909092	49600471.0
B_1_16_1	70.85211408261856	55.0	150.0	27.27272727272727	40992309.0
B_1_16_2	75.28980537945597	55.0	150.0	9.090909090909092	40992309.0
B_1_17_1	71.71600310367926	54.0	150.0	18.181818181818183	40983822.0
B_1_17_2	76.51400277170102	55.0	150.0	9.090909090909092	40983822.0
B_1_18_1	69.8025832423175	55.0	150.0	18.181818181818183	32952398.0
B_1_18_2	74.12213486496773	56.0	150.0	9.090909090909092	32952398.0
B_1_19_1	68.167429656863	55.0	150.0	18.181818181818183	35799389.0
B_1_19_2	72.91244725093631	56.0	150.0	9.090909090909092	35799389.0
B_1_20_1	65.45399606063171	55.0	150.0	18.181818181818183	32732787.0
B_1_20_2	69.68327237474648	56.0	150.0	9.090909090909092	32732787.0
B_1_21_1	68.39603254521744	55.0	150.0	18.181818181818183	34180842.0
B_1_21_2	72.17362890181015	56.0	150.0	9.090909090909092	34180842.0
B_1_22_1	68.221713940103	55.0	150.0	18.181818181818183	35727621.0
B_1_22_2	72.55012052604995	56.0	150.0	9.090909090909092	35727621.0
B_1_23_1	66.80180753211886	56.0	150.0	18.181818181818183	33869966.0
B_1_23_2	70.94386293302728	56.0	150.0	9.090909090909092	33869966.0
B_1_24_1	69.59097691377612	55.0	150.0	18.181818181818183	33529793.0
B_1_24_2	74.11639983486026	56.0	150.0	9.090909090909092	33529793.0
B_1_25_1	67.2328576975592	53.0	150.0	18.181818181818183	40042732.0
B_1_25_2	71.1428150214969	54.0	150.0	9.090909090909092	40042732.0
B_1_26_1	65.88985150525532	56.0	150.0	18.181818181818183	34653366.0
B_1_26_2	70.2037130577558	56.0	150.0	9.090909090909092	34653366.0
B_1_27_1	73.54273621857936	56.0	150.0	18.181818181818183	39178638.0
B_1_27_2	78.11326338934728	56.0	150.0	9.090909090909092	39178638.0
B_1_28_1	73.26539436732439	55.0	150.0	18.181818181818183	42545329.0
B_1_28_2	77.46372278077996	55.0	150.0	9.090909090909092	42545329.0
B_1_29_1	70.66596939368338	55.0	150.0	18.181818181818183	40707548.0
B_1_29_2	75.13595438180931	55.0	150.0	9.090909090909092	40707548.0
B_1_30_1	69.73199022838624	55.0	150.0	18.181818181818183	40923089.0
B_1_30_2	74.59762401965216	56.0	150.0	9.090909090909092	40923089.0
B_1_31_1	72.48283766072791	56.0	150.0	9.090909090909092	32534125.0
B_1_31_2	71.7775136300907	57.0	150.0	9.090909090909092	32534125.0
B_1_32_1	71.60133736255051	55.0	150.0	9.090909090909092	47047060.0
B_1_32_2	72.57820129386602	56.0	150.0	9.090909090909092	47047060.0
B_1_33_1	73.4987374280008	55.0	150.0	9.090909090909092	41723995.0
B_1_33_2	73.07602260406023	56.0	150.0	9.090909090909092	41723995.0
B_1_34_1	50.078416508298446	56.0	150.0	9.090909090909092	9485752.0
B_1_34_2	51.08685816823868	56.0	150.0	9.090909090909092	9485752.0
B_1_35_1	70.806528517032	55.0	150.0	18.181818181818183	30827048.0
B_1_35_2	72.45189336077135	55.0	150.0	18.181818181818183	30827048.0
B_1_36_1	77.03619003265416	55.0	150.0	9.090909090909092	59147842.0
B_1_36_2	77.00045770125232	55.0	150.0	9.090909090909092	59147842.0
B_1_38_1	65.8527090546188	56.0	150.0	9.090909090909092	32742345.0
B_1_38_2	66.86585009214488	56.0	150.0	9.090909090909092	32742345.0
B_1_39_1	70.86474547486881	56.0	150.0	18.181818181818183	33500344.0
B_1_39_2	68.35994357219982	57.0	150.0	9.090909090909092	33500344.0
B_1_3_1	69.87899475467468	55.0	150.0	18.181818181818183	39897235.0
B_1_3_2	74.38399657217376	56.0	150.0	9.090909090909092	39897235.0
B_1_40_1	63.91903173837035	56.0	150.0	9.090909090909092	38355390.0
B_1_40_2	63.66905698921558	56.0	150.0	9.090909090909092	38355390.0
B_1_41_1	65.12817980622746	55.0	150.0	9.090909090909092	41829230.0
B_1_41_2	65.83168601140342	56.0	150.0	9.090909090909092	41829230.0
B_1_42_1	67.08053249588913	55.0	150.0	9.090909090909092	38522133.0
B_1_42_2	68.56713489923987	55.0	150.0	9.090909090909092	38522133.0
B_1_4_1	67.78516445449864	55.0	150.0	18.181818181818183	35113186.0
B_1_4_2	72.46143479409614	56.0	150.0	9.090909090909092	35113186.0
B_1_5_1	69.66216953292407	55.0	150.0	27.27272727272727	46952000.0
B_1_5_2	75.30355525397489	55.0	150.0	9.090909090909092	46952000.0
B_1_6_1	68.38281769715915	55.0	150.0	18.181818181818183	40820068.0
B_1_6_2	72.7712232075589	56.0	150.0	9.090909090909092	40820068.0
B_1_8_1	77.02151062150156	55.0	150.0	18.181818181818183	36748293.0
B_1_8_2	80.73296902854318	55.0	150.0	9.090909090909092	36748293.0
B_1_9_1	69.5316396928175	55.0	150.0	27.27272727272727	42949335.0
B_1_9_2	74.60442302813033	55.0	150.0	9.090909090909092	42949335.0
B_2_10_1	70.24947542141938	55.0	150.0	18.181818181818183	44180340.0
B_2_10_2	70.66480743497553	55.0	150.0	9.090909090909092	44180340.0
B_2_11_1	67.92415800281688	55.0	150.0	9.090909090909092	32748218.0
B_2_11_2	68.49515125230283	56.0	150.0	9.090909090909092	32748218.0
B_2_12_1	70.31871576938089	55.0	150.0	9.090909090909092	36642698.0
B_2_12_2	68.07929163796742	56.0	150.0	9.090909090909092	36642698.0
B_2_13_1	66.08976855762603	56.0	150.0	9.090909090909092	29563004.0
B_2_13_2	66.76573888773174	56.0	150.0	9.090909090909092	29563004.0
B_2_14_1	75.04879808229578	55.0	150.0	9.090909090909092	42521579.0
B_2_14_2	74.2655175942821	56.0	150.0	9.090909090909092	42521579.0
B_2_15_1	68.86985321399283	55.0	150.0	9.090909090909092	35879600.0
B_2_15_2	69.39355572455474	56.0	150.0	9.090909090909092	35879600.0
B_2_16_1	74.39888465379846	55.0	150.0	9.090909090909092	42239432.0
B_2_16_2	74.46537722033979	55.0	150.0	9.090909090909092	42239432.0
B_2_17_1	74.22918867244948	54.0	150.0	9.090909090909092	37917973.0
B_2_17_2	74.6348709979933	54.0	150.0	9.090909090909092	37917973.0
