Sample	Unique Reads	Duplicate Reads
BR_1_13_1	8500441.0	19863777.0
BR_1_13_2	7820064.0	20544154.0
BR_1_19_1	10442048.0	23114081.0
BR_1_19_2	10079285.0	23476844.0
BR_1_25_1	10463171.0	23556744.0
BR_1_25_2	9570685.0	24449230.0
BR_1_31_1	9624816.0	20469379.0
BR_1_31_2	9114448.0	20979747.0
BR_1_35_1	9008003.0	22049782.0
BR_1_35_2	8265457.0	22792328.0
BR_1_8_1	5897558.0	25836882.0
BR_1_8_2	5573207.0	26161233.0
BR_2_13_1	11977603.0	28073160.0
BR_2_13_2	11404437.0	28646326.0
BR_2_19_1	10083482.0	24214588.0
BR_2_19_2	9193867.0	25104203.0
BR_2_25_1	9594797.0	23391546.0
BR_2_25_2	8879532.0	24106811.0
BR_2_8_1	12888416.0	25411146.0
BR_2_8_2	11994678.0	26304884.0
BR_3_13_1	11296408.0	23478272.0
BR_3_13_2	10782801.0	23991879.0
BR_3_19_1	11760892.0	22123554.0
BR_3_19_2	11083547.0	22800899.0
BR_3_25_1	11304864.0	19908996.0
BR_3_25_2	10928145.0	20285715.0
BR_3_31_1	11186067.0	18203039.0
BR_3_31_2	10984304.0	18404802.0
BR_3_35_1	11316694.0	22044380.0
BR_3_35_2	10905790.0	22455284.0
BR_3_8_1	10432124.0	21143216.0
BR_3_8_2	9849857.0	21725483.0
B_1_10_1	10866440.0	21537141.0
B_1_10_2	9165334.0	23238247.0
B_1_11_1	13559664.0	29167037.0
B_1_11_2	10947496.0	31779205.0
B_1_12_1	11448059.0	25899128.0
B_1_12_2	9655658.0	27691529.0
B_1_13_1	11084919.0	18956708.0
B_1_13_2	9757809.0	20283818.0
B_1_14_1	14057388.0	30049233.0
B_1_14_2	11529866.0	32576755.0
B_1_15_1	13749323.0	34680326.0
B_1_15_2	10833123.0	37596526.0
B_1_16_1	11880945.0	28065192.0
B_1_16_2	9892922.0	30053215.0
B_1_17_1	11546822.0	28491503.0
B_1_17_2	9386278.0	30652047.0
B_1_18_1	9965870.0	22268825.0
B_1_18_2	8399731.0	23834964.0
B_1_19_1	11397714.0	23546505.0
B_1_19_2	9559327.0	25384892.0
B_1_20_1	11233007.0	20623921.0
B_1_20_2	9688155.0	22168773.0
B_1_21_1	10737628.0	22467834.0
B_1_21_2	9234631.0	23970831.0
B_1_22_1	11258292.0	23535299.0
B_1_22_2	9559228.0	25234363.0
B_1_23_1	11156227.0	21758857.0
B_1_23_2	9575980.0	23339104.0
B_1_24_1	10191970.0	22523917.0
B_1_24_2	8542660.0	24173227.0
B_1_25_1	13182295.0	25827569.0
B_1_25_2	11548995.0	27460869.0
B_1_26_1	11731050.0	22004717.0
B_1_26_2	10092770.0	23642997.0
B_1_27_1	10464946.0	27737702.0
B_1_27_2	8514989.0	29687659.0
B_1_28_1	11454845.0	29963469.0
B_1_28_2	9497748.0	31920566.0
B_1_29_1	11938459.0	27820805.0
B_1_29_2	10031921.0	29727343.0
B_1_30_1	12311893.0	27613902.0
B_1_30_2	10154225.0	29771570.0
B_1_31_1	9046923.0	22126009.0
B_1_31_2	8962215.0	22210717.0
B_1_32_1	13287499.0	31954296.0
B_1_32_2	12466792.0	32775003.0
B_1_33_1	11071255.0	28903435.0
B_1_33_2	10841919.0	29132771.0
B_1_34_1	4656684.0	4510220.0
B_1_34_2	4535777.0	4631127.0
B_1_35_1	9075220.0	20770238.0
B_1_35_2	8346573.0	21498885.0
B_1_36_1	13513457.0	43278911.0
B_1_36_2	12990518.0	43801850.0
B_1_38_1	11167551.0	20313493.0
B_1_38_2	10583532.0	20897512.0
B_1_39_1	9752660.0	22472175.0
B_1_39_2	10439258.0	21785577.0
B_1_3_1	12018915.0	26964861.0
B_1_3_2	10103118.0	28880658.0
B_1_40_1	13609879.0	23251222.0
B_1_40_2	13477009.0	23384092.0
B_1_41_1	14481916.0	25980445.0
B_1_41_2	13962244.0	26500117.0
B_1_42_1	12592984.0	24587021.0
B_1_42_2	11784842.0	25395163.0
B_1_4_1	11302538.0	22973513.0
B_1_4_2	9488047.0	24788004.0
B_1_5_1	14163356.0	31570340.0
B_1_5_2	11233441.0	34500255.0
B_1_6_1	12787205.0	26921225.0
B_1_6_2	10776535.0	28931895.0
B_1_8_1	8609031.0	27133385.0
B_1_8_2	7015884.0	28726532.0
B_1_9_1	12988401.0	28889734.0
B_1_9_2	10618493.0	31259642.0
B_2_10_1	13055587.0	29823134.0
