Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
BR_1_13_1	BR_1_13_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28364218.0	0.0	36-150	54.0	29.968887882482733	147.09131261789062	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
BR_1_13_2	BR_1_13_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28364218.0	0.0	36-150	54.0	27.570171638162865	147.58231103004496	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
BR_1_19_1	BR_1_19_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33556129.0	0.0	36-150	55.0	31.118154145428772	145.7554911056636	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
BR_1_19_2	BR_1_19_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33556129.0	0.0	36-150	55.0	30.03708961281953	146.0947642977532	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
BR_1_25_1	BR_1_25_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34019915.0	0.0	36-150	54.0	30.756016181227498	146.4085380283872	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
BR_1_25_2	BR_1_25_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34019915.0	0.0	36-150	54.0	28.132592745640068	147.10553941713258	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
BR_1_31_1	BR_1_31_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30094195.0	0.0	36-150	54.0	31.982297704282985	146.75976204048655	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
BR_1_31_2	BR_1_31_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30094195.0	0.0	36-150	54.0	30.28639637661421	146.88044960165905	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
BR_1_35_1	BR_1_35_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31057785.0	0.0	36-150	54.0	29.00400818488688	146.93706315501893	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
BR_1_35_2	BR_1_35_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31057785.0	0.0	36-150	54.0	26.613155454901495	147.35361987340693	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
BR_1_8_1	BR_1_8_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31734440.0	0.0	36-150	53.0	18.584091888186087	147.06670037347436	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
BR_1_8_2	BR_1_8_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31734440.0	0.0	36-150	54.0	17.56201304931228	147.27974405724507	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
