Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
BR_1_13_1	70.03111211751727	54.0	147.09131261789062	9.090909090909092	28364218.0
BR_1_13_2	72.42982836183714	54.0	147.58231103004496	9.090909090909092	28364218.0
BR_1_19_1	68.88184585457122	55.0	145.7554911056636	18.181818181818183	33556129.0
BR_1_19_2	69.96291038718047	55.0	146.0947642977532	9.090909090909092	33556129.0
BR_1_25_1	69.2439838187725	54.0	146.4085380283872	9.090909090909092	34019915.0
BR_1_25_2	71.86740725435993	54.0	147.10553941713258	9.090909090909092	34019915.0
BR_1_31_1	68.01770229571702	54.0	146.75976204048655	9.090909090909092	30094195.0
BR_1_31_2	69.7136036233858	54.0	146.88044960165905	9.090909090909092	30094195.0
BR_1_35_1	70.99599181511311	54.0	146.93706315501893	9.090909090909092	31057785.0
BR_1_35_2	73.38684454509851	54.0	147.35361987340693	9.090909090909092	31057785.0
BR_1_8_1	81.4159081118139	53.0	147.06670037347436	9.090909090909092	31734440.0
BR_1_8_2	82.43798695068772	54.0	147.27974405724507	9.090909090909092	31734440.0
BR_2_13_1	70.09394555434882	55.0	145.7256598082788	18.181818181818183	40050763.0
BR_2_13_2	71.52504535120838	56.0	146.39843930064453	9.090909090909092	40050763.0
BR_2_19_1	70.60043945982866	54.0	147.16773972996148	9.090909090909092	34298070.0
BR_2_19_2	73.19421529307043	54.0	147.40954759261965	9.090909090909092	34298070.0
BR_2_25_1	70.91282084817408	54.0	146.53820452300516	9.090909090909092	32986343.0
BR_2_25_2	73.08118817350802	54.0	146.9884334556274	9.090909090909092	32986343.0
BR_2_8_1	66.34839884009327	55.0	145.7377320920798	18.181818181818183	38299562.0
BR_2_8_2	68.68194661351639	56.0	146.4563471509152	9.090909090909092	38299562.0
BR_3_13_1	67.5154244951692	55.0	145.63422199715424	18.181818181818183	34774680.0
BR_3_13_2	68.99238078035651	56.0	146.16865909334032	9.090909090909092	34774680.0
BR_3_19_1	65.291179318091	55.0	145.5676100473946	18.181818181818183	33884446.0
BR_3_19_2	67.29016351313054	55.0	146.20193701853648	9.090909090909092	33884446.0
BR_3_25_1	63.78255163458818	55.0	145.48159564373006	18.181818181818183	31213860.0
BR_3_25_2	64.98944763803033	55.0	146.142092166749	9.090909090909092	31213860.0
BR_3_31_1	61.9380499524588	55.0	145.23664054292772	18.181818181818183	29389106.0
BR_3_31_2	62.62457377668563	55.0	145.8035631978734	9.090909090909092	29389106.0
BR_3_35_1	66.07815103531681	55.0	145.7254660326583	18.181818181818183	33361074.0
BR_3_35_2	67.30983826394662	55.0	146.0956131388336	9.090909090909092	33361074.0
BR_3_8_1	66.9611690948413	55.0	145.8862386596629	18.181818181818183	31575340.0
BR_3_8_2	68.80522420458165	55.0	146.50104470767377	9.090909090909092	31575340.0
B_1_10_1	66.46531296523997	55.0	147.00803969783462	27.27272727272727	32403581.0
B_1_10_2	71.71505838880749	55.0	147.79615472129453	9.090909090909092	32403581.0
B_1_11_1	68.26419308839245	55.0	147.37066716196975	18.181818181818183	42726701.0
B_1_11_2	74.37785924146435	56.0	147.9652466498642	9.090909090909092	42726701.0
B_1_12_1	69.34693244682195	55.0	147.73390279701655	27.27272727272727	37347187.0
B_1_12_2	74.14622563934353	55.0	147.96781382758493	9.090909090909092	37347187.0
B_1_13_1	63.10147145625192	55.0	147.57494805457773	18.181818181818183	30041627.0
B_1_13_2	67.51903959248745	55.0	147.58824337310358	9.090909090909092	30041627.0
B_1_14_1	68.12862346592108	55.0	147.363562627026	18.181818181818183	44106621.0
B_1_14_2	73.85910539590668	55.0	147.85579296586786	9.090909090909092	44106621.0
B_1_15_1	71.60969985818716	55.0	147.42961729910536	18.181818181818183	48429649.0
B_1_15_2	77.63121768551309	55.0	147.93716489665246	9.090909090909092	48429649.0
B_1_16_1	70.25758808479469	55.0	147.55800554631853	18.181818181818183	39946137.0
B_1_16_2	75.23434626179179	55.0	147.75858979805733	9.090909090909092	39946137.0
B_1_17_1	71.1605791167701	54.0	147.21467076856987	18.181818181818183	40038325.0
B_1_17_2	76.55676861658678	55.0	148.00979224280735	9.090909090909092	40038325.0
B_1_18_1	69.08340827657163	55.0	147.4557410268656	18.181818181818183	32234695.0
B_1_18_2	73.94195607478419	55.0	147.97651431167566	9.090909090909092	32234695.0
B_1_19_1	67.38312148038966	55.0	147.38284066385916	18.181818181818183	34944219.0
B_1_19_2	72.64404047845949	56.0	147.83331692146274	9.090909090909092	34944219.0
B_1_20_1	64.73920488612848	55.0	147.08051884349928	18.181818181818183	31856928.0
B_1_20_2	69.58854706450245	55.0	147.46883541313213	9.090909090909092	31856928.0
B_1_21_1	67.66306930715191	55.0	147.70687578447183	18.181818181818183	33205462.0
B_1_21_2	72.18942429946355	56.0	147.3468489310584	9.090909090909092	33205462.0
B_1_22_1	67.64262978852	55.0	147.5953814885046	18.181818181818183	34793591.0
B_1_22_2	72.52589459387296	55.0	147.53370708415812	9.090909090909092	34793591.0
B_1_23_1	66.10603552944336	55.0	147.43925204626547	18.181818181818183	32915084.0
B_1_23_2	70.90701841640053	56.0	147.36941446055553	9.090909090909092	32915084.0
B_1_24_1	68.8470341757224	55.0	147.39884497094639	18.181818181818183	32715887.0
